上帝之城,2002,9.0,251512
未麻的部屋,1997,9.0,230513
疯狂原始人,2013,8.7,702019
谍影重重3,2007,8.8,345685
卢旺达饭店,2004,8.9,249711
纵横四海,1991,8.8,332391
三块广告牌,2017,8.7,672324
花样年华,2000,8.7,466363
岁月神偷,2010,8.7,496515
达拉斯买家俱乐部,2013,8.8,362886
模仿游戏,2014,8.7,494548
黑客帝国3：矩阵革命,2003,8.8,346092
新世界,2013,8.9,290251
心迷宫,2014,8.7,400718
头脑特工队,2015,8.7,479273
记忆碎片,2000,8.7,499928
忠犬八公物语,1987,9.2,153507
你的名字。,2016,8.4,1115201
荒蛮故事,2014,8.8,345945
真爱至上,2003,8.6,592553
爆裂鼓手,2014,8.7,455621
贫民窟的百万富翁,2008,8.6,620170
海街日记,2015,8.8,336553
东邪西毒,1994,8.6,480600
萤火虫之墓,1988,8.7,348039
惊魂记,1960,9.0,202988
黑天鹅,2010,8.6,680533
寄生虫,2019,8.7,1104901
无敌破坏王,2012,8.7,430223
你看起来好像很好吃,2010,8.9,274640
冰川时代,2002,8.6,507760
小偷家族,2018,8.7,671099
哈利·波特与火焰杯,2005,8.6,450018
绿里奇迹,1999,8.9,242071
雨人,1988,8.7,337109
爱在午夜降临前,2013,8.8,282118
恋恋笔记本,2004,8.5,533070
疯狂的石头,2006,8.5,652020
九品芝麻官,1994,8.6,485089
恐怖游轮,2009,8.5,643446
奇迹男孩,2017,8.6,465648
雨中曲,1952,9.0,167608
魔女宅急便,1989,8.7,372753
二十二,2015,8.7,238358
海边的曼彻斯特,2016,8.6,392230
虎口脱险,1966,8.9,194179
人工智能,2001,8.7,356615
房间,2015,8.8,317738
2001太空漫游,1968,8.8,237162
色，戒,2007,8.5,566307
城市之光,1931,9.3,108002
可可西里,2004,8.8,239664
罗生门,1950,8.8,247809
终结者2：审判日,1991,8.7,283072
初恋这件小事,2010,8.4,834073
波西米亚狂想曲,2018,8.7,467717
大佛普拉斯,2017,8.7,331130
魂断蓝桥,1940,8.8,225520
遗愿清单,2007,8.7,322230
牯岭街少年杀人事件,1991,8.9,210339
源代码,2011,8.5,671379
新龙门客栈,1992,8.6,357832
青蛇,1993,8.6,415337
无耻混蛋,2009,8.6,386486
疯狂的麦克斯4：狂暴之路,2015,8.6,421003
燃情岁月,1994,8.8,237330
血钻,2006,8.7,295664
海洋,2009,9.1,138733
步履不停,2008,8.8,214944
穿越时空的少女,2006,8.6,321980
谍影重重2,2004,8.7,289970
彗星来的那一夜,2013,8.5,421991
阿飞正传,1990,8.5,403555
完美陌生人,2016,8.5,444271
战争之王,2005,8.7,287420
地球上的星星,2007,8.9,170003
东京教父,2003,9.0,143810
谍影重重,2002,8.6,346534
香水,2006,8.5,458996
无间道2,2003,8.6,335357
千钧一发,1997,8.8,210807
东京物语,1953,9.2,106614
黑客帝国2：重装上阵,2003,8.6,305698
驴得水,2016,8.4,751873
朗读者,2008,8.6,393582
崖上的波妞,2008,8.5,375094
再次出发之纽约遇见你,2013,8.6,344759
我爱你,2011,9.1,130926
猜火车,1996,8.5,360075
聚焦,2015,8.8,231141
浪潮,2008,8.7,223782
小萝莉的猴神大叔,2015,8.4,405298
追随,1998,8.9,149678
网络谜踪,2018,8.6,431253
黑鹰坠落,2001,8.7,239663
